Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
orange-charm,,,,,,,,F - 760 x 1000,,Canvas,,None,GI-934307126-F-C-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Canvas,,White,GI-934307126-F-C-W,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Canvas,,Black,GI-934307126-F-C-B,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Canvas,,Scandi,GI-934307126-F-C-S,4600,shopify,0,continue,manual,832,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,Multiple Exposure Of Woman On Beach Against Cloudy Sky,Multiple Exposure Of Woman On Beach Against Cloudy Sky,Getty Images,Open Edition Prints,"400-750, 750-1500, getty-images, under-400, under-750",TRUE,size,C - 400 x 400,materials,Matt Photographic Paper,Frame,None,GI-556717145-C-M-N,1500,,0,continue,manual,86,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/GI-556717145_910e98a1-4e40-418f-a535-fe277fb2ad1e.jpg?v=1537680613,1,Multiple Exposure Of Woman On Beach Against Cloudy Sky by Getty Images - FINEPRINT co,FALSE,Multiple Exposure Of Woman On Beach Against Cloudy Sky | FINEPRINT co,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,White,GI-556717145-C-M-W,4600,,0,continue,manual,351,0,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/2439/0231/products/gi-556717145.jpg?v=1537680613,2,Multiple Exposure Of Woman On Beach Against Cloudy Sky by Getty Images - FINEPRINT co,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,Black,GI-556717145-C-M-B,4600,,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Matt Photographic Paper,,Scandi,GI-556717145-C-M-S,4600,,0,continue,manual,351,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Canvas,,None,GI-556717145-C-C-N,1500,,0,continue,manual,86,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Canvas,,White,GI-556717145-C-C-W,4600,,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Canvas,,Black,GI-556717145-C-C-B,4600,,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,C - 400 x 400,,Canvas,,Scandi,GI-556717145-C-C-S,4600,,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,D - 500 x 500,,Matt Photographic Paper,,None,GI-556717145-D-M-N,1500,,0,continue,manual,116,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
multiple-exposure-of-woman-on-beach-against-cloudy-sky,,,,,,,,D - 500 x 500,,Matt Photographic Paper,,White,GI-556717145-D-M-W,4600,,0,continue,manual,462,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
